青白 (あおじろ)
登録 (とうろく)
遠浅 (とおあさ)
時折 (ときおり)
得意 (とくい)
特産 (とくさん)
特使 (とくし)
得失 (とくしつ)
特集 (とくしゅう)
特賞 (とくしょう)
特色 (とくしょく)
得心 (とくしん)
特進 (とくしん)
特選 (とくせん)
特大 (とくだい)
特注 (とくちゅう)
特長 (とくちょう)
特定 (とくてい)
得点 (とくてん)
特典 (とくてん)
特等 (とくとう)
特売 (とくばい)
特筆 (とくひつ)
特別 (とくべつ)
特別 (とくべつ)
特命 (とくめい)
特約 (とくやく)
特有 (とくゆう)
特例 (とくれい)
特化 (とっか)
特急 (とっきゅう)
特訓 (とっくん)
特高 (とっこう)
徒弟 (とてい)
徒歩 (とほ)
都民 (とみん)
灯火 (ともしび)
友達 (ともだち)
取付 (とりつけ)
徒労 (とろう)
同位 (どうい)
動機 (どうき)
動議 (どうぎ)
同型 (どうけい)
同好 (どうこう)
動産 (どうさん)
同士 (どうし)
同氏 (どうし)
同種 (どうしゅ)
動静 (どうせい)
同席 (どうせき)
同然 (どうぜん)
動的 (どうてき)
道標 (どうひょう)
動脈 (どうみゃく)
同類 (どうるい)
土器 (どき)
毒薬 (どくやく)
土建 (どけん)
度量 (どりょう)
努力 (どりょく)
内省 (ないせい)
内積 (ないせき)
内戦 (ないせん)
内的 (ないてき)
内包 (ないほう)
内約 (ないやく)
内陸 (ないりく)
仲買 (なかがい)
仲仕 (なかし)
仲間 (なかま)
仲良 (なかよ)
仲人 (なこうど)
名残 (なごり)
何卒 (なにとぞ)
名札 (なふだ)
生録 (なまろく)
南無 (なむ)
成金 (なりきん)
南軍 (なんぐん)
西側 (にしがわ)
日課 (にっか)
日給 (にっきゅう)
日参 (にっさん)
日産 (にっさん)
日照 (にっしょう)
荷札 (にふだ)
入札 (にゅうさつ)
入試 (にゅうし)
入賞 (にゅうしょう)
入選 (にゅうせん)
入隊 (にゅうたい)
入念 (にゅうねん)
入梅 (にゅうばい)
入浴 (にゅうよく)
二輪 (にりん)
人参 (にんじん)
人夫 (にんぷ)
熱気 (ねっき)
熱唱 (ねっしょう)
熱心 (ねっしん)
熱戦 (ねっせん)
熱帯 (ねったい)
熱中 (ねっちゅう)
熱湯 (ねっとう)
熱波 (ねっぱ)
熱風 (ねっぷう)
熱意 (ねつい)
熱望 (ねつぼう)
熱量 (ねつりょう)
根付 (ねづ)
念願 (ねんがん)
年季 (ねんき)
年功 (ねんこう)
年産 (ねんさん)
念書 (ねんしょ)
念頭 (ねんとう)
年別 (ねんべつ)
年末 (ねんまつ)
年利 (ねんり)
念力 (ねんりき)
年輪 (ねんりん)
農協 (のうきょう)
農産 (のうさん)
農夫 (のうふ)
農民 (のうみん)
野辺 (のべ)
野良 (のら)
配位 (はいい)
配管 (はいかん)
配給 (はいきゅう)
敗者 (はいしゃ)
敗戦 (はいせん)
配達 (はいたつ)
配置 (はいち)
配付 (はいふ)
敗北 (はいぼく)
博士 (はかせ)
博愛 (はくあい)
白衣 (はくい)
博学 (はくがく)
白菜 (はくさい)
博士 (はくし)
白熱 (はくねつ)
白梅 (はくばい)
博物 (はくぶつ)
刷毛 (はけ)
旗色 (はたいろ)
発覚 (はっかく)
発給 (はっきゅう)
発散 (はっさん)
発信 (はっしん)
発達 (はったつ)
法度 (はっと)
発芽 (はつが)
初荷 (はつに)
発熱 (はつねつ)
初耳 (はつみみ)
初雪 (はつゆき)
発令 (はつれい)
花束 (はなたば)
花札 (はなふだ)
半旗 (はんき)
半径 (はんけい)
半周 (はんしゅう)
半焼 (はんしょう)
反省 (はんせい)
飯場 (はんば)
半量 (はんりょう)
反例 (はんれい)
梅雨 (ばいう)
倍加 (ばいか)
売約 (ばいやく)
博才 (ばくさい)
博打 (ばくち)
場末 (ばすえ)
万博 (ばんぱく)
番兵 (ばんぺい)
万民 (ばんみん)
悲観 (ひかん)
東側 (ひがしがわ)
悲願 (ひがん)
飛行 (ひこう)
飛散 (ひさん)
日差 (ひざし)
飛車 (ひしゃ)
左側 (ひだりがわ)
必見 (ひっけん)
必殺 (ひっさつ)
必死 (ひっし)
必勝 (ひっしょう)
必着 (ひっちゃく)
必中 (ひっちゅう)
未年 (ひつじどし)
筆順 (ひつじゅん)
必定 (ひつじょう)
必然 (ひつぜん)
必読 (ひつどく)
必要 (ひつよう)
日付 (ひづけ)
人達 (ひとたち)
費目 (ひもく)
冷麦 (ひやむぎ)
標記 (ひょうき)
票決 (ひょうけつ)
標高 (ひょうこう)
標語 (ひょうご)
表札 (ひょうさつ)
表象 (ひょうしょう)
標定 (ひょうてい)
標的 (ひょうてき)
票田 (ひょうでん)
標本 (ひょうほん)
費用 (ひよう)
平底 (ひらぞこ)
昼飯 (ひるめし)
品位 (ひんい)
品種 (ひんしゅ)
美観 (びかん)
美的 (びてき)
病欠 (びょうけつ)
病巣 (びょうそう)
病的 (びょうてき)
病歴 (びょうれき)
便乗 (びんじょう)
不安 (ふあん)
不意 (ふい)
風紀 (ふうき)
風景 (ふうけい)
不運 (ふうん)
付加 (ふか)
府下 (ふか)
不覚 (ふかく)
付記 (ふき)
不休 (ふきゅう)
付近 (ふきん)
付議 (ふぎ)
副官 (ふくかん)
副業 (ふくぎょう)
副菜 (ふくさい)
副賞 (ふくしょう)
副食 (ふくしょく)
副次 (ふくじ)
副題 (ふくだい)
副読 (ふくどく)
服毒 (ふくどく)
副本 (ふくほん)
福利 (ふくり)
府県 (ふけん)
付言 (ふげん)
不幸 (ふこう)
不作 (ふさく)
節目 (ふしめ)
不出 (ふしゅつ)
不信 (ふしん)
不時 (ふじ)
不治 (ふじ)
不順 (ふじゅん)
夫人 (ふじん)
付図 (ふず)
不省 (ふせい)
不整 (ふせい)
不正 (ふせい)
不戦 (ふせん)
不全 (ふぜん)
不足 (ふそく)
付帯 (ふたい)
付置 (ふち)
付着 (ふちゃく)
不調 (ふちょう)
不通 (ふつう)
不束 (ふつつか)
不定 (ふてい)
不当 (ふとう)
不等 (ふとう)
不動 (ふどう)
不同 (ふどう)
府内 (ふない)
船底 (ふなぞこ)
船便 (ふなびん)
不敗 (ふはい)
不発 (ふはつ)
付表 (ふひょう)
歩兵 (ふひょう)
不服 (ふふく)
不平 (ふへい)
不変 (ふへん)
不便 (ふべん)
不法 (ふほう)
不満 (ふまん)
不明 (ふめい)
不毛 (ふもう)
不問 (ふもん)
不用 (ふよう)
不要 (ふよう)
不利 (ふり)
府立 (ふりつ)
不漁 (ふりょう)
不良 (ふりょう)
古巣 (ふるす)
不労 (ふろう)
不老 (ふろう)
付録 (ふろく)
不和 (ふわ)
分別 (ふんべつ)
粉末 (ふんまつ)
不様 (ぶざま)
無事 (ぶじ)
不足 (ぶそく)
不足 (ぶそく)
部隊 (ぶたい)
物産 (ぶっさん)
物的 (ぶってき)
物議 (ぶつぎ)
物量 (ぶつりょう)
部費 (ぶひ)
部類 (ぶるい)
無礼 (ぶれい)
文官 (ぶんかん)
文型 (ぶんけい)
文芸 (ぶんげい)
分散 (ぶんさん)
分節 (ぶんせつ)
文節 (ぶんせつ)
分隊 (ぶんたい)
分置 (ぶんち)
分別 (ぶんべつ)
文法 (ぶんぽう)
文末 (ぶんまつ)
文脈 (ぶんみゃく)
文民 (ぶんみん)
分量 (ぶんりょう)
分類 (ぶんるい)
文例 (ぶんれい)
兵役 (へいえき)
兵器 (へいき)
兵士 (へいし)
平静 (へいせい)
平然 (へいぜん)
兵隊 (へいたい)
平熱 (へいねつ)
兵法 (へいほう)
平民 (へいみん)
兵力 (へいりょく)
変位 (へんい)
変化 (へんか)
変型 (へんけい)
変形 (へんけい)
変化 (へんげ)
変死 (へんし)
変色 (へんしょく)
変身 (へんしん)
返信 (へんしん)
変人 (へんじん)
変成 (へんせい)
変声 (へんせい)
変速 (へんそく)
変体 (へんたい)
辺地 (へんち)
変調 (へんちょう)
変転 (へんてん)
変動 (へんどう)
返付 (へんぷ)
米軍 (べいぐん)
米飯 (べいはん)
別館 (べっかん)
別記 (べっき)
別紙 (べっし)
別室 (べっしつ)
別種 (べっしゅ)
別送 (べっそう)
別注 (べっちゅう)
別表 (べっぴょう)
別口 (べつくち)
別人 (べつじん)
別売 (べつばい)
別便 (べつびん)
別名 (べつめい)
別物 (べつもの)
便所 (べんじょ)
便法 (べんぽう)
便利 (べんり)
法案 (ほうあん)
包囲 (ほうい)
方位 (ほうい)
法王 (ほうおう)
法科 (ほうか)
法外 (ほうがい)
法学 (ほうがく)
放散 (ほうさん)
法事 (ほうじ)
法人 (ほうじん)
法線 (ほうせん)
包帯 (ほうたい)
放置 (ほうち)
法治 (ほうち)
包丁 (ほうちょう)
法定 (ほうてい)
法的 (ほうてき)
放念 (ほうねん)
方便 (ほうべん)
方法 (ほうほう)
放牧 (ほうぼく)
法要 (ほうよう)
法令 (ほうれい)
北軍 (ほくぐん)
北陸 (ほくりく)
火照 (ほて)
歩兵 (ほへい)
本案 (ほんあん)
本位 (ほんい)
本願 (ほんがん)
本給 (ほんきゅう)
本省 (ほんしょう)
本選 (ほんせん)
本堂 (ほんどう)
本望 (ほんもう)
望遠 (ぼうえん)
望遠 (ぼうえん)
望外 (ぼうがい)
牧場 (ぼくじょう)
牧草 (ぼくそう)
牧童 (ぼくどう)
前側 (まえがわ)
牧場 (まきば)
不味 (まず)
街角 (まちかど)
末期 (まっき)
末世 (まっせ)
末席 (まっせき)
末筆 (まっぴつ)
末期 (まつご)
末日 (まつじつ)
末代 (まつだい)
松原 (まつばら)
松山 (まつやま)
末路 (まつろ)
丸底 (まるぞこ)
満員 (まんいん)
満開 (まんかい)
満願 (まんがん)
満期 (まんき)
満月 (まんげつ)
満室 (まんしつ)
満車 (まんしゃ)
満身 (まんしん)
満場 (まんじょう)
満水 (まんすい)
満席 (まんせき)
満足 (まんぞく)
満足 (まんぞく)
満点 (まんてん)
満面 (まんめん)
見失 (みうしな)
見栄 (みえ)
見得 (みえ)
未開 (みかい)
味覚 (みかく)
未完 (みかん)
右側 (みぎがわ)
未決 (みけつ)
水辺 (みずべ)
未然 (みぜん)
未知 (みち)
道標 (みちしるべ)
道順 (みちじゅん)
未着 (みちゃく)
未定 (みてい)
未読 (みどく)
南側 (みなみがわ)
未必 (みひつ)
未満 (みまん)
未明 (みめい)
未聞 (みもん)
脈動 (みゃくどう)
土産 (みやげ)
未来 (みらい)
未練 (みれん)
民意 (みんい)
民家 (みんか)
民間 (みんかん)
民芸 (みんげい)
民主 (みんしゅ)
民宿 (みんしゅく)
民事 (みんじ)
民生 (みんせい)
民族 (みんぞく)
民放 (みんぽう)
民法 (みんぽう)
民有 (みんゆう)
民話 (みんわ)
無音 (むおん)
無害 (むがい)
無学 (むがく)
無期 (むき)
無機 (むき)
無休 (むきゅう)
無給 (むきゅう)
無口 (むくち)
無形 (むけい)
無欠 (むけつ)
無芸 (むげい)
無根 (むこん)
無言 (むごん)
無産 (むさん)
無残 (むざん)
無色 (むしょく)
無心 (むしん)
無心 (むしん)
無地 (むじ)
無実 (むじつ)
無人 (むじん)
無数 (むすう)
無声 (むせい)
無線 (むせん)
無知 (むち)
無茶 (むちゃ)
無茶 (むちゃ)
無電 (むでん)
無毒 (むどく)
無二 (むに)
無念 (むねん)
無敗 (むはい)
無病 (むびょう)
無風 (むふう)
無法 (むほう)
無味 (むみ)
無名 (むめい)
無用 (むよう)
無理 (むり)
無料 (むりょう)
無量 (むりょう)
無力 (むりょく)
無類 (むるい)
名案 (めいあん)
名産 (めいさん)
名望 (めいぼう)
命令 (めいれい)
目印 (めじるし)
面積 (めんせき)
木材 (もくざい)
目的 (もくてき)
目標 (もくひょう)
目録 (もくろく)
望月 (もちづき)
物置 (ものおき)
最早 (もはや)
門灯 (もんとう)
門標 (もんぴょう)
焼肉 (やきにく)
焼物 (やきもの)
薬害 (やくがい)
約定 (やくじょう)
約定 (やくじょう)
約数 (やくすう)
約束 (やくそく)
役得 (やくとく)
役得 (やくどく)
約分 (やくぶん)
役満 (やくまん)
夜景 (やけい)
野菜 (やさい)
矢印 (やじるし)
夜戦 (やせん)
野望 (やぼう)
山側 (やまがわ)
有害 (ゆうがい)
勇気 (ゆうき)
有機 (ゆうき)
有給 (ゆうきゅう)
友好 (ゆうこう)
遊説 (ゆうぜい)
有毒 (ゆうどく)
夕飯 (ゆうはん)
昨夜 (ゆうべ)
有望 (ゆうぼう)
遊牧 (ゆうぼく)
遊民 (ゆうみん)
夕飯 (ゆうめし)
有利 (ゆうり)
有料 (ゆうりょう)
浴衣 (ゆかた)
指輪 (ゆびわ)
湯浴 (ゆよく)
養育 (よういく)
要員 (よういん)
要求 (ようきゅう)
陽極 (ようきょく)
養子 (ようし)
要所 (ようしょ)
養女 (ようじょ)
養生 (ようじょう)
要人 (ようじん)
養成 (ようせい)
羊腸 (ようちょう)
要点 (ようてん)
養父 (ようふ)
養分 (ようぶん)
用兵 (ようへい)
用法 (ようほう)
要望 (ようぼう)
要約 (ようやく)
用例 (ようれい)
養老 (ようろう)
要録 (ようろく)
浴室 (よくしつ)
浴場 (よくじょう)
浴用 (よくよう)
予告 (よこく)
予選 (よせん)
予兆 (よちょう)
予約 (よやく)
来季 (らいき)
来航 (らいこう)
来信 (らいしん)
来歴 (らいれき)
落差 (らくさ)
落札 (らくさつ)
落成 (らくせい)
落選 (らくせん)
楽観 (らっかん)
利害 (りがい)
利器 (りき)
力士 (りきし)
力説 (りきせつ)
力戦 (りきせん)
力量 (りきりょう)
陸運 (りくうん)
陸軍 (りくぐん)
陸上 (りくじょう)
陸地 (りくち)
陸路 (りくろ)
利子 (りし)
利息 (りそく)
利他 (りた)
陸橋 (りっきょう)
立法 (りっぽう)
立案 (りつあん)
利点 (りてん)
利得 (りとく)
理念 (りねん)
利発 (りはつ)
利便 (りべん)
流産 (りゅうざん)
流失 (りゅうしつ)
流量 (りゅうりょう)
量感 (りょうかん)
両側 (りょうがわ)
両極 (りょうきょく)
料金 (りょうきん)
良好 (りょうこう)
量産 (りょうさん)
両氏 (りょうし)
量子 (りょうし)
良心 (りょうしん)
良人 (りょうじん)
量的 (りょうてき)
両得 (りょうとく)
料理 (りょうり)
旅費 (りょひ)
利用 (りよう)
林産 (りんさん)
輪唱 (りんしょう)
輪転 (りんてん)
類語 (るいご)
類書 (るいしょ)
類焼 (るいしょう)
類字 (るいじ)
類同 (るいどう)
類別 (るいべつ)
冷夏 (れいか)
例会 (れいかい)
例外 (れいがい)
冷害 (れいがい)
冷気 (れいき)
冷血 (れいけつ)
例月 (れいげつ)
冷笑 (れいしょう)
冷水 (れいすい)
冷静 (れいせい)
冷戦 (れいせん)
令息 (れいそく)
例題 (れいだい)
冷熱 (れいねつ)
例年 (れいねん)
冷風 (れいふう)
例文 (れいぶん)
礼法 (れいほう)
歴史 (れきし)
歴然 (れきぜん)
歴代 (れきだい)
列挙 (れっきょ)
列席 (れっせき)
列伝 (れつでん)
連関 (れんかん)
連記 (れんき)
連休 (れんきゅう)
連係 (れんけい)
連結 (れんけつ)
連言 (れんげん)
連行 (れんこう)
連語 (れんご)
連合 (れんごう)
連作 (れんさく)
連山 (れんざん)
連勝 (れんしょう)
連日 (れんじつ)
連成 (れんせい)
連戦 (れんせん)
連想 (れんそう)
連続 (れんぞく)
連体 (れんたい)
連帯 (れんたい)
連隊 (れんたい)
練達 (れんたつ)
連打 (れんだ)
連中 (れんちゅう)
連動 (れんどう)
連年 (れんねん)
連敗 (れんぱい)
連発 (れんぱつ)
連名 (れんめい)
連夜 (れんや)
連用 (れんよう)
連立 (れんりつ)
老化 (ろうか)
労苦 (ろうく)
老後 (ろうご)
労作 (ろうさく)
労使 (ろうし)
労相 (ろうしょう)
老弱 (ろうじゃく)
老中 (ろうじゅう)
老人 (ろうじん)
労組 (ろうそ)
老体 (ろうたい)
労働 (ろうどう)
老夫 (ろうふ)
老父 (ろうふ)
老母 (ろうぼ)
老木 (ろうぼく)
労力 (ろうりょく)
老練 (ろうれん)
録音 (ろくおん)
録画 (ろくが)
六法 (ろっぽう)
和英 (わえい)
和議 (わぎ)
和戦 (わせん)
話法 (わほう)
愛護 (あいご)
愛妻 (あいさい)
相性 (あいしょう)
愛情 (あいじょう)
悪質 (あくしつ)
悪性 (あくせい)
悪銭 (あくせん)
悪態 (あくたい)
悪徳 (あくとく)
悪夢 (あくむ)
圧殺 (あっさつ)
圧死 (あっし)
圧勝 (あっしょう)
圧制 (あっせい)
厚紙 (あつがみ)
厚着 (あつぎ)
厚地 (あつじ)
厚手 (あつで)
圧力 (あつりょく)
編目 (あみめ)
安易 (あんい)
安価 (あんか)
安居 (あんきょ)
案件 (あんけん)
暗証 (あんしょう)
暗示 (あんじ)
安保 (あんぽ)
移管 (いかん)
意義 (いぎ)
移行 (いこう)
意志 (いし)
医師 (いし)
意識 (いしき)
移出 (いしゅつ)
移植 (いしょく)
移住 (いじゅう)
移設 (いせつ)
移送 (いそう)
居候 (いそうろう)
一因 (いちいん)
一応 (いちおう)
一応 (いちおう)
一眼 (いちがん)
一団 (いちだん)
一任 (いちにん)
一興 (いっきょう)
一報 (いっぽう)
移転 (いてん)
移動 (いどう)
居所 (いどころ)
居直 (いなお)
田舎 (いなか)
移入 (いにゅう)
委任 (いにん)
居残 (いのこ)
居間 (いま)
移民 (いみん)
医務 (いむ)
因果 (いんが)
因業 (いんごう)
因子 (いんし)
因習 (いんしゅう)
因数 (いんすう)
院政 (いんせい)
引責 (いんせき)
印税 (いんぜい)
引率 (いんそつ)
引退 (いんたい)
引導 (いんどう)
有情 (うじょう)
運営 (うんえい)
運河 (うんが)
運勢 (うんせい)
運輸 (うんゆ)
永遠 (えいえん)
永久 (えいきゅう)
営業 (えいぎょう)
永住 (えいじゅう)
永世 (えいせい)
衛星 (えいせい)
衛生 (えいせい)
営造 (えいぞう)
永続 (えいぞく)
営団 (えいだん)
英断 (えいだん)
永年 (えいねん)
営利 (えいり)
営林 (えいりん)
液化 (えきか)
易者 (えきしゃ)
液状 (えきじょう)
液性 (えきせい)
液体 (えきたい)
役務 (えきむ)
絵師 (えし)
枝葉 (えだは)
枝豆 (えだまめ)
枝道 (えだみち)
演歌 (えんか)
演技 (えんぎ)
演芸 (えんげい)
塩酸 (えんさん)
演算 (えんざん)
演習 (えんしゅう)
演出 (えんしゅつ)
演説 (えんぜつ)
演目 (えんもく)
桜花 (おうか)
応急 (おうきゅう)
応札 (おうさつ)
往信 (おうしん)
往時 (おうじ)
往生 (おうじょう)
王制 (おうせい)
応接 (おうせつ)
応戦 (おうせん)
応対 (おうたい)
横断 (おうだん)
応答 (おうとう)
黄銅 (おうどう)
往年 (おうねん)
往復 (おうふく)
応報 (おうほう)
横暴 (おうぼう)
応用 (おうよう)
往来 (おうらい)
横領 (おうりょう)
応力 (おうりょく)
往路 (おうろ)
大勢 (おおぜい)
大判 (おおばん)
帯状 (おびじょう)
織物 (おりもの)
恩給 (おんきゅう)
温厚 (おんこう)
恩師 (おんし)
音質 (おんしつ)
恩賞 (おんしょう)
温情 (おんじょう)
恩人 (おんじん)
音素 (おんそ)
音像 (おんぞう)
音程 (おんてい)
恩典 (おんてん)
開演 (かいえん)
快活 (かいかつ)
快感 (かいかん)
開眼 (かいがん)
快気 (かいき)
快挙 (かいきょ)
解禁 (かいきん)
解決 (かいけつ)
解散 (かいさん)
改修 (かいしゅう)
解消 (かいしょう)
解職 (かいしょく)
快事 (かいじ)
開示 (かいじ)
快晴 (かいせい)
解説 (かいせつ)
開設 (かいせつ)
開祖 (かいそ)
快走 (かいそう)
会則 (かいそく)
快速 (かいそく)
改造 (かいぞう)
解体 (かいたい)
解題 (かいだい)
改築 (かいちく)
快調 (かいちょう)
快適 (かいてき)
解答 (かいとう)
解読 (かいどく)
解任 (かいにん)
改版 (かいはん)
快美 (かいび)
回復 (かいふく)
快復 (かいふく)
改編 (かいへん)
会報 (かいほう)
解放 (かいほう)
快方 (かいほう)
会務 (かいむ)
解明 (かいめい)
解約 (かいやく)
快楽 (かいらく)
価格 (かかく)
書留 (かきとめ)
可逆 (かぎゃく)
格言 (かくげん)
確言 (かくげん)
格差 (かくさ)
格式 (かくしき)
角質 (かくしつ)
確証 (かくしょう)
確信 (かくしん)
確実 (かくじつ)
格調 (かくちょう)
確定 (かくてい)
確答 (かくとう)
確度 (かくど)
格別 (かくべつ)
確保 (かくほ)
確報 (かくほう)
確約 (かくやく)
格安 (かくやす)
確率 (かくりつ)
確立 (かくりつ)
可決 (かけつ)
下限 (かげん)
加減 (かげん)
過去 (かこ)
河口 (かこう)
加護 (かご)
過言 (かごん)
火災 (かさい)
家財 (かざい)
仮死 (かし)
河岸 (かし)
貸方 (かしかた)
貸出 (かしだし)
過失 (かしつ)
貸本 (かしほん)
貸間 (かしま)
貸家 (かしや)
個所 (かしょ)
過小 (かしょう)
過少 (かしょう)
過食 (かしょく)
過信 (かしん)
過日 (かじつ)
過重 (かじゅう)
仮数 (かすう)
仮性 (かせい)
加勢 (かせい)
家政 (かせい)
仮設 (かせつ)
仮説 (かせつ)
河川 (かせん)
課税 (かぜい)
仮想 (かそう)
過多 (かた)
気質 (かたぎ)
仮題 (かだい)
過大 (かだい)
各個 (かっこ)
確固 (かっこ)
格好 (かっこう)
活性 (かっせい)
河童 (かっぱ)
活版 (かっぱん)
仮定 (かてい)
課程 (かてい)
過程 (かてい)
過当 (かとう)
過度 (かど)
可読 (かどく)
仮名 (かな)
過熱 (かねつ)
可能 (かのう)
過半 (かはん)
過分 (かぶん)
可変 (かへん)
花弁 (かべん)
仮名 (かめい)
仮面 (かめん)
可愛 (かわい)
河口 (かわぐち)
河原 (かわら)
官許 (かんきょ)
感興 (かんきょう)
刊行 (かんこう)
慣行 (かんこう)
管財 (かんざい)
官舎 (かんしゃ)
感謝 (かんしゃ)
慣習 (かんしゅう)
幹事 (かんじ)
感情 (かんじょう)
官製 (かんせい)
感性 (かんせい)
慣性 (かんせい)
管制 (かんせい)
間接 (かんせつ)
幹線 (かんせん)
関税 (かんぜい)
観測 (かんそく)
間断 (かんだん)
官能 (かんのう)
感応 (かんのう)
完備 (かんび)
幹部 (かんぶ)
官報 (かんぽう)
慣用 (かんよう)
慣例 (かんれい)
外圧 (がいあつ)
外因 (がいいん)
外資 (がいし)
外接 (がいせつ)
外敵 (がいてき)
外務 (がいむ)
学資 (がくし)
学識 (がくしき)
学術 (がくじゅつ)
学制 (がくせい)
学則 (がくそく)
楽団 (がくだん)
学務 (がくむ)
額面 (がくめん)
画質 (がしつ)
賀正 (がしょう)
賀状 (がじょう)
画像 (がぞう)
楽句 (がっく)
合財 (がっさい)
眼下 (がんか)
眼科 (がんか)
眼球 (がんきゅう)
眼鏡 (がんきょう)
眼光 (がんこう)
元祖 (がんそ)
眼中 (がんちゅう)
眼目 (がんもく)
眼力 (がんりき)
気圧 (きあつ)
起因 (きいん)
規格 (きかく)
基幹 (きかん)
季刊 (きかん)
起居 (ききょ)
基金 (ききん)
寄金 (ききん)
期限 (きげん)
寄港 (きこう)
機構 (きこう)
気質 (きしつ)
寄宿 (きしゅく)
気性 (きしょう)
寄進 (きしん)
記述 (きじゅつ)
基準 (きじゅん)
規準 (きじゅん)
寄生 (きせい)
気勢 (きせい)
規制 (きせい)
規正 (きせい)
基線 (きせん)
気絶 (きぜつ)
規則 (きそく)
帰属 (きぞく)
気団 (きだん)
基地 (きち)
基調 (きちょう)
基底 (きてい)
規定 (きてい)
規程 (きてい)
基点 (きてん)
帰任 (きにん)
機能 (きのう)
気張 (きば)
寄付 (きふ)
基本 (きほん)
客演 (きゃくえん)
規約 (きやく)
休演 (きゅうえん)
旧家 (きゅうか)
休刊 (きゅうかん)
旧館 (きゅうかん)
球技 (きゅうぎ)
急減 (きゅうげん)
休耕 (きゅうこう)
休講 (きゅうこう)
救護 (きゅうご)
旧式 (きゅうしき)
休職 (きゅうしょく)
求職 (きゅうしょく)
球状 (きゅうじょう)
急性 (きゅうせい)
旧制 (きゅうせい)
急増 (きゅうぞう)
旧態 (きゅうたい)
球団 (きゅうだん)
旧知 (きゅうち)
旧道 (きゅうどう)
旧年 (きゅうねん)
旧版 (きゅうはん)
急報 (きゅうほう)
急務 (きゅうむ)
旧友 (きゅうゆう)
旧来 (きゅうらい)
共益 (きょうえき)
競演 (きょうえん)
共演 (きょうえん)
境界 (きょうかい)
競技 (きょうぎ)
教義 (きょうぎ)
経木 (きょうぎ)
教護 (きょうご)
協賛 (きょうさん)
教師 (きょうし)
教職 (きょうしょく)
教示 (きょうじ)
教授 (きょうじゅ)
教条 (きょうじょう)
強制 (きょうせい)
教祖 (きょうそ)
教則 (きょうそく)
鏡像 (きょうぞう)
教団 (きょうだん)
境地 (きょうち)
教程 (きょうてい)
強敵 (きょうてき)
経典 (きょうてん)
経堂 (きょうどう)
共犯 (きょうはん)
強弁 (きょうべん)
興味 (きょうみ)
教務 (きょうむ)
許可 (きょか)
曲技 (きょくぎ)
局限 (きょくげん)
極限 (きょくげん)
局在 (きょくざい)
極性 (きょくせい)
局留 (きょくどめ)
曲率 (きょくりつ)
居室 (きょしつ)
居所 (きょしょ)
居住 (きょじゅう)
去勢 (きょせい)
曲解 (きょっかい)
許容 (きょよう)
居留 (きょりゅう)
均一 (きんいつ)
近因 (きんいん)
近刊 (きんかん)
金額 (きんがく)
近眼 (きんがん)
禁句 (きんく)
金券 (きんけん)
禁固 (きんこ)
金鉱 (きんこう)
近在 (きんざい)
禁止 (きんし)
均質 (きんしつ)
禁酒 (きんしゅ)
近似 (きんじ)
均整 (きんせい)
禁制 (きんせい)
近接 (きんせつ)
金銭 (きんせん)
禁足 (きんそく)
金属 (きんぞく)
禁断 (きんだん)
均等 (きんとう)
均分 (きんぶん)
禁物 (きんもつ)
禁輸 (きんゆ)
禁漁 (きんりょう)
技官 (ぎかん)
技士 (ぎし)
技師 (ぎし)
義手 (ぎしゅ)
技術 (ぎじゅつ)
義足 (ぎそく)
技能 (ぎのう)
義父 (ぎふ)
技法 (ぎほう)
義母 (ぎぼ)
義務 (ぎむ)
逆算 (ぎゃくさん)
逆順 (ぎゃくじゅん)
逆上 (ぎゃくじょう)
逆数 (ぎゃくすう)
逆接 (ぎゃくせつ)
逆説 (ぎゃくせつ)
逆転 (ぎゃくてん)
逆風 (ぎゃくふう)
逆用 (ぎゃくよう)
逆理 (ぎゃくり)
逆流 (ぎゃくりゅう)
逆境 (ぎゃっきょう)
逆行 (ぎゃっこう)
行政 (ぎょうせい)
業績 (ぎょうせき)
業態 (ぎょうたい)
業務 (ぎょうむ)
魚眼 (ぎょがん)
魚群 (ぎょぐん)
義理 (ぎり)
技量 (ぎりょう)
銀河 (ぎんが)
銀製 (ぎんせい)
空輸 (くうゆ)
区営 (くえい)
久遠 (くおん)
苦境 (くきょう)
句集 (くしゅう)
苦情 (くじょう)
句点 (くてん)
組版 (くみはん)
訓示 (くんじ)
訓導 (くんどう)
具備 (ぐび)
群居 (ぐんきょ)
軍師 (ぐんし)
群集 (ぐんしゅう)
群小 (ぐんしょう)
群生 (ぐんせい)
群像 (ぐんぞう)
軍団 (ぐんだん)
群島 (ぐんとう)
群発 (ぐんぱつ)
軍備 (ぐんび)
群落 (ぐんらく)
経営 (けいえい)
経過 (けいか)
軽快 (けいかい)
経験 (けいけん)
軽減 (けいげん)
形質 (けいしつ)
形状 (けいじょう)
経常 (けいじょう)
形勢 (けいせい)
経線 (けいせん)
計測 (けいそく)
軽率 (けいそつ)
形態 (けいたい)
境内 (けいだい)
経度 (けいど)
経年 (けいねん)
経費 (けいひ)
経由 (けいゆ)
形容 (けいよう)
経理 (けいり)
計略 (けいりゃく)
係留 (けいりゅう)
経歴 (けいれき)
経路 (けいろ)
欠格 (けっかく)
結構 (けっこう)
欠損 (けっそん)
血統 (けっとう)
潔白 (けっぱく)
血圧 (けつあつ)
